id,text,simplify,score
1-VX310yQTw_17-1-rgb_front,"There's low English, there's high English, there's left English, there's right English, and there's any combination of those.","There is low English, there is high English, there is right English, and there is left English, he said.",tensor([[0.8444]])
476vh2-HlV0_12-5-rgb_front,All of this will be in your microwave owner's manual.,This information is in the microwave owner's manual.,tensor([[0.8916]])
DpR_FCiPIBA_8-1-rgb_front,"Now that I've got my board nice and clean, I am going to start applying a base coat of wax so the top coat takes.","Now that my board is clean and nice, I'm going to put a base coat of wax on it so the top coat takes.",tensor([[0.9657]])
CFC40Yw8CyQ_10-8-rgb_front,"These pens come in a number of different heights and sizes so you can get pens that are very, very tall for larger dogs.","These pens come in many different sizes and heights, so you can get very tall pens for larger dogs.",tensor([[0.9875]])
3-fARE8grc0_18-8-rgb_front,"I toss it to him, he loads it.","I give it to him, he takes it.",tensor([[0.6552]])
0tbwqARWKw8_22-4-rgb_front,"I'm cranking it clockwise, as you see, it's connected and it's starting to raise the vehicle.","I'm turning it clockwise, as you see, it's attached and it's beginning to raise the car.",tensor([[0.8483]])
2kOoZjewAkY_0-8-rgb_front,Coming into palming her arm and this is the one the side poses.,Coming into palming her arm and this is the side position.,tensor([[0.8342]])
aVY3jET8UVY_0-5-rgb_front,So now the fun really starts to begin with the accessories.,So now the fun really starts when you add accessories.,tensor([[0.9017]])
0H0_rY2_6wQ_11-5-rgb_front,"So, now we've finished putting in the color on our image, and we can see what a big difference it makes.","So, now we've put the color in our picture, and we can see what a big difference it makes.",tensor([[0.9153]])
EBc1o6yZcoQ_5-5-rgb_front,Or if the horse toes in -- any of those structural imbalances are going to cause issues.,Or if the horse feet in -- any of those structural problems will cause problems.,tensor([[0.8804]])
1bJg-DSYR8k_18-8-rgb_front,"You can either, I like folding things in half so I can put things in, but you can buy these at any kind of, you know, supply place or something.","You can either, I like folding things in half so I can put things in, but you can buy these at any store or something.",tensor([[0.9439]])
-Ah1r8OnmMM_6-8-rgb_front,"Ok get that piece up so I'm going for reinforcements with my, there it goes.","Ok get that piece up so I'm going to get some more, there it goes.",tensor([[0.7847]])
bunoLSdIKXo_13-8-rgb_front,It brings in a lot of cognitive functions that people don't really think about usually when they are riding.,It provides many cognitive functions that people usually don't think about when they are riding.,tensor([[0.9556]])
dkJRO_I7d3Q_12-8-rgb_front,Here we have repaired our dropped stitch good as new.,Our dropped stitch has been repaired good as new.,tensor([[0.9438]])
1A25qZmkliU_10-8-rgb_front,Just make sure you're getting to the edge of the fabric and you'll know you're catching the wire.,Just make sure you're getting to the edge of the wire. Then you know you've got it.,tensor([[0.8041]])
-DQ1scNd-M8_5-8-rgb_front,So I'm going to cut a piece off.,So I'm going to cut it off.,tensor([[0.7966]])
BJZFpsaYwgI_7-8-rgb_front,The flagman stands in that stand right over there.,The flag man is standing right here over there.,tensor([[0.7275]])
22qgKXLM0j4_26-5-rgb_front,Kind of sticky mix.,Like a sticky mix.,tensor([[0.9142]])
eUkBa7h9VGM_7-5-rgb_front,"Sometimes if you can find other friends who have a press, press is pretty important.","If you can find other people who have a press, it's pretty important.",tensor([[0.7870]])
0GLi2UAP2CY_17-8-rgb_front,"Nothing wrong with an apple, but as you can see, there's lots more we can do.","There's nothing wrong with an apple, but there's a lot more we can do.",tensor([[0.9521]])
16_CbprlCb0_10-8-rgb_front,You just pop a clove in your mouth and kind of suck on it and chew on it for about one to two minutes.,You just put the clove in your mouth and kind of suck on it. It takes about one to two minutes.,tensor([[0.9342]])
3mNAaB29C7E_3-5-rgb_front,"So the threat she's facing, is I'm going to have my hand around her neck, locking my hands, and starting to pull her backwards.","So what I'm going to do is I'm going to put my hand around her neck, and I'm going to pull her backwards.",tensor([[0.8324]])
f6SJe6s7FBQ_9-8-rgb_front,"So, in order to, you know, really assure that and make sure, you know, that it's absolutely up to par every time I need it to be, I keep absolutely perfect care of my kites.","So, in order to, you know, really guarantee that and make sure, you know, that it's completely up to par whenever I want it to be, I keep perfect care of my kites.",tensor([[0.9782]])
-eJI_YOtHNE_11-5-rgb_front,"Do it in your garage, out on the sidewalk, or whatever.","You can do it in the garage, or on the sidewalk.",tensor([[0.8649]])
1LgVgklOYCQ_9-5-rgb_front,You're looking at that person and movements are always slow when you're relaxed.,You look at the person and the movement is always slow when you are relaxed.,tensor([[0.8972]])
0HfN3Ts0FxQ_8-5-rgb_front,"If not, you can throw in a piece of squash and move it around.","If not, you can put in some squash and move it around.",tensor([[0.9500]])
dlXnxaYWr9w_6-1-rgb_front,"Now, be careful when you're squeezing the glove like this that you don't develop a wrinkle in the pocket.","Now, take care when you squeeze the glove like this that you don't create a crease in the pocket.",tensor([[0.9308]])
EmmuWoCUgXs_3-8-rgb_front,"Now this is sort of, I don't know, being a little, you know, you really want to look at it.","Now this is kind of, I don't know, it's a little bit, you know, you should look at it.",tensor([[0.7876]])
10mCoCsahVo_7-8-rgb_front,"Many of the press boxes that we work in have wireless signals, and that helps you transmit your story back to your newspaper.",Many of the press boxes we work in have wireless signals. This allows you to send your story back to the paper.,tensor([[0.9680]])
fB33NsuFbV0_15-1-rgb_front,"This is so you have a really big base, and it burns really bright, and that you have an area that you can throw stuff on top of to make your signaling.","This is so you have a really big base, and it burns really bright, and that you have an area that you can put stuff on to make a signal.",tensor([[0.9450]])
14fs-ot5KCc_22-8-rgb_front,"That's ok, you're still learning, just get up out of if, and get a spot until you can make that full rotation.","That's ok, you're still learning. Just get up if you want, and get a spot until you can do the full rotation.",tensor([[0.8785]])
5newWSXJB1I_1-8-rgb_front,The ball is held severely back in the palm and is choked a great deal.,The ball is held firmly back in the hand and is choked a lot.,tensor([[0.9349]])
1HVI7U22egg_5-5-rgb_front,Just going to keep spreading that all around nice.,Just going to keep it going all around nice.,tensor([[0.6189]])
fJ5vO67Ktnw_0-3-rgb_front,"Okay, here we're going to go over the idea of a pendulum.",Here we are going to talk about the pendulum.,tensor([[0.9233]])
5VseAeFbfgI_12-8-rgb_front,"It's a chalk that's got a little, you can hardly see it but it's a little tracing wheel.","It's a little bit of chalk, you can't see it, but it's a little tracing wheel.",tensor([[0.9500]])
1jx2aBn_2_U_2-8-rgb_front,"In our next step, we'll be skimming off any of the grease or fat that's risen to the top.","In our next step, we'll take away any fat or grease that has risen to the top.",tensor([[0.8559]])
1bJg-DSYR8k_25-8-rgb_front,You may want to have a smaller board if you want something that you're going to see when you're taking a shower.,You might want a smaller board if you want something that you can see when you take a shower.,tensor([[0.9796]])
1mrUTikYY-c_3-11-rgb_front,"And, for that what we will use is just any kind of normal, you know, mat knife that you could get from Home Depot.","And, for that what we're going to use is just any normal, you know, mat knife that you can get at home.",tensor([[0.8997]])
0-_hOoXzsWw_9-5-rgb_front,"Or if I find that he's resisting, then I back off a little bit.","If I find that he's fighting back, then I back off a little bit.",tensor([[0.7803]])
CmFW0P_9Tmw_14-8-rgb_front,"You have a hand that looks like you've got four tricks, you're pretty sure of taking four tricks.",You have a hand that looks like it has four tricks. You're pretty sure you have four tricks.,tensor([[0.9500]])
1kMlu1Z5DWM_20-8-rgb_front,"Same thing in the next frame, 9, miss, 8, miss, 45.","The next frame, 9, miss, 8, miss, 45. ",tensor([[0.9154]])
1lkC3y2g5do_6-8-rgb_front,"The other common mistake, maybe, is just ollieing up too high, and coming down all wrong, and not being able to control your board.","The other common mistake, maybe, is just going up too high and coming down the wrong way. You can't control your board.",tensor([[0.9170]])
Dvq-Fc0-Lxk_7-5-rgb_front,So that way your styling product doesn't get diluted.,"This way, your styling product will not be diluted.",tensor([[0.9408]])
2Jm303dE1T8_0-3-rgb_front,Before you go in a cave don't go alone and don't go without a guide.,"If you go into a cave, don't go alone and don't leave without a guide.",tensor([[0.9726]])
1ihegSTOHFw_3-3-rgb_front,"What's cool about Microsoft is they, they ""ha"", they have three ways to do everything.",What I like about Microsoft is that they have three different ways to do everything.,tensor([[0.9054]])
1lGojKZsjI4_0-8-rgb_front,"Hi, I'm Jan Kain and I'm back again to tell you a little about Chi Gong.","Hi, I'm Jan Kain and I'm coming back to tell you a little bit.",tensor([[0.5382]])
49P4e1DLm6w_14-8-rgb_front,"I've got a little funnel, you don't have to have one but it makes it work.",I have a small funnel. You don't need one but it makes it work.,tensor([[0.9337]])
48DncKS_yN0_6-8-rgb_front,"It?s very important that you have a strong, firm chest pass.","It's important to have a strong, strong chest pass.",tensor([[0.7892]])
F8eQI8E-6q4_5-5-rgb_front,Maintain a regular tone of professionalism just general conversation much like I'm doing right now.,Keep a normal tone of professionalism just general conversation just like I'm doing right now.,tensor([[0.9517]])
BbM3wYI7H8U_9-8-rgb_front,Good jab and cross and hook and upper.,Good jab and cross and up and down.,tensor([[0.8921]])
1szb5o0HENU_3-8-rgb_front,I'm going to have her tilt her head gently forward.,She will then tilt her head slightly forward.,tensor([[0.7258]])
1KWcAgqPvEw_6-5-rgb_front,"Most of the time, it's forty-five and forty-five.",Sometimes it's forty-five and forty-five.,tensor([[0.9606]])
395INfhRQB8_4-8-rgb_front,"The muscles, the bones, getting them ready for the actual postures.","The bones, the muscles, they're getting ready for real postures.",tensor([[0.7851]])
fGOgdMxbrbk_12-3-rgb_front,Now if you compare these two stones you will get to know the difference in the color of a diamond.,"If you compare these two stones, you will know the difference between a diamond's color.",tensor([[0.9531]])
1iQ5DtFbgT4_7-8-rgb_front,You want to do it like once every third night and the papaya maybe twice a week for those two weeks.,You should do it like once every third night and the papaya maybe once a week for two weeks.,tensor([[0.9729]])
b33htMHPtl8_8-5-rgb_front,Swamp water does not have the stipulation that he has to stop so he can continue moving on.,Swamp water does not have the requirement that he must stop so he can continue on.,tensor([[0.9565]])
0G4GGoZBQPo_4-8-rgb_front,"But now we want to grab from the stash of hair that's in the middle, just to kind of keep it in line.","But now we want to pick up the hair in the middle, just to kind of keep it in line.",tensor([[0.9416]])
F5aaCX9R5K0_12-5-rgb_front,"You're not going down into the basin, you're just doing the lip right here.",You don't have to go down there. You just do the lip right here.,tensor([[0.7665]])
_0-JkwZ9o4Q_6-5-rgb_front,"So, it's ship, captain, crew, cargo.","So, the ship, the crew, the cargo.",tensor([[0.8185]])
3wrA8v-xDlg_0-5-rgb_front,This idea for a vest style is a fitted half vest.,The most common style is a fitted half vest.,tensor([[0.8388]])
1QIHG8XLXHg_2-5-rgb_front,So you want to learn to toss it right up there so you can hit the ball consistently.,So you should learn to throw it right up there so you can hit the ball often.,tensor([[0.9418]])
4UlmDZi98fk_16-5-rgb_front,So obviously if you're buying a computer you don't want to skimp on the RAM.,"So when you buy a computer, you don't want to spend too much on RAM.",tensor([[0.8691]])
311BWiTLG-I_15-8-rgb_front,"This can be used as an accent to bracelets, jewelry and any type of earrings.","This can be used to add to jewelry, bracelets and any kind of earrings.",tensor([[0.8236]])
CnycvXFq8H4_16-5-rgb_front,Don't forget a nice sunblocking lip moisturizer.,Don't forget a good lip moisturizer.,tensor([[0.9077]])
3oSvyY2f4ZQ_32-5-rgb_front,"One gentleman said ""I don't think I can find a couple stars to align to.","One man said, I don't think I could find a few stars to align.",tensor([[0.9526]])
E-PDvv4N-uE_5-5-rgb_front,The other function of a plum line is to tell you where your posts are going to go.,The other purpose of a plum line is to tell you where your posts will go.,tensor([[0.9652]])
